LandisData "Dynamic Input Data"

>> Warning - This is a bias-corrected file

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.5

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.6			3.5295

>>	year	landtype	species	probEst	maxANPP	maxB

0	478_1	ABIE.BAL	0.692	911	6290
0	478_1	ACER.RUB	0.614	550	3400
0	478_1	ACER.SAH	0.551	554	5509
0	478_1	BETU.ALL	0.581	430	3833
0	478_1	BETU.PAP	0.786	434	2623
0	478_1	FAGU.GRA	0.498	398	5664
0	478_1	FRAX.AME	0.324	286	2963
0	478_1	LARI.LAR	0.786	284	2443
0	478_1	PICE.GLA	0.692	828	8261
0	478_1	PICE.MAR	0.614	735	7500
0	478_1	PICE.RUB	0.498	1367	9043
0	478_1	PINU.BAN	0.786	844	6670
0	478_1	PINU.RES	0.651	646	6008
0	478_1	PINU.STR	0.614	442	4674
0	478_1	POPU.TRE	0.786	926	5630
0	478_1	QUER.RUB	0.523	720	9078
0	478_1	THUJ.SPP.ALL	0.498	425	4432
0	478_1	TSUG.CAN	0.401	312	4098
0	478_2	ABIE.BAL	0.692	748	5901
0	478_2	ACER.RUB	0	0	0
0	478_2	ACER.SAH	0.455	379	4423
0	478_2	BETU.ALL	0	0	0
0	478_2	BETU.PAP	0.786	364	2482
0	478_2	FAGU.GRA	0.401	314	4436
0	478_2	FRAX.AME	0	0	0
0	478_2	LARI.LAR	0.786	261	2240
0	478_2	PICE.GLA	0.651	708	7771
0	478_2	PICE.MAR	0.581	648	7162
0	478_2	PICE.RUB	0.401	1136	8306
0	478_2	PINU.BAN	0.786	694	6306
0	478_2	PINU.RES	0.335	555	5480
0	478_2	PINU.STR	0.372	352	3774
0	478_2	POPU.TRE	0.786	804	5448
0	478_2	QUER.RUB	0.435	767	7030
0	478_2	THUJ.SPP.ALL	0.401	353	3656
0	478_2	TSUG.CAN	0.324	210	3102
0	478_3	ABIE.BAL	0.737	819	6113
0	478_3	ACER.RUB	0.692	508	3645
0	478_3	ACER.SAH	0.551	648	5953
0	478_3	BETU.ALL	0.614	491	3950
0	478_3	BETU.PAP	0.786	440	2590
0	478_3	FAGU.GRA	0.523	416	6308
0	478_3	FRAX.AME	0.386	202	3184
0	478_3	LARI.LAR	0.786	278	2392
0	478_3	PICE.GLA	0.692	821	8166
0	478_3	PICE.MAR	0.614	735	7360
0	478_3	PICE.RUB	0.498	1366	9250
0	478_3	PINU.BAN	0.786	894	6826
0	478_3	PINU.RES	0.692	840	6414
0	478_3	PINU.STR	0.651	508	5066
0	478_3	POPU.TRE	0.786	918	5626
0	478_3	QUER.RUB	0.551	751	9210
0	478_3	THUJ.SPP.ALL	0.498	524	4580
0	478_3	TSUG.CAN	0.435	314	4356
0	478_4	ABIE.BAL	0.737	953	6586
0	478_4	ACER.RUB	0.692	484	4042
0	478_4	ACER.SAH	0.614	712	6296
0	478_4	BETU.ALL	0.651	546	4234
0	478_4	BETU.PAP	0.786	492	2728
0	478_4	FAGU.GRA	0.551	536	6616
0	478_4	FRAX.AME	0.614	266	3624
0	478_4	LARI.LAR	0.786	333	2572
0	478_4	PICE.GLA	0.692	930	8629
0	478_4	PICE.MAR	0.614	819	7648
0	478_4	PICE.RUB	0.498	1165	9792
0	478_4	PINU.BAN	0.786	971	6946
0	478_4	PINU.RES	0.692	840	6713
0	478_4	PINU.STR	0.692	586	5357
0	478_4	POPU.TRE	0.838	968	5758
0	478_4	QUER.RUB	0.614	950	10196
0	478_4	THUJ.SPP.ALL	0.523	606	4892
0	478_4	TSUG.CAN	0.435	388	4740
0	478_5	ABIE.BAL	0.737	921	6459
0	478_5	ACER.RUB	0.786	545	4309
0	478_5	ACER.SAH	0.692	716	6148
0	478_5	BETU.ALL	0.692	616	4524
0	478_5	BETU.PAP	0.838	474	2740
0	478_5	FAGU.GRA	0.614	705	7145
0	478_5	FRAX.AME	0.651	460	3984
0	478_5	LARI.LAR	0.838	348	2572
0	478_5	PICE.GLA	0.692	898	8440
0	478_5	PICE.MAR	0.651	722	7440
0	478_5	PICE.RUB	0.551	1362	9331
0	478_5	PINU.BAN	0.838	970	7056
0	478_5	PINU.RES	0.737	857	7515
0	478_5	PINU.STR	0.692	721	5740
0	478_5	POPU.TRE	0.893	926	5702
0	478_5	QUER.RUB	0.651	1077	10209
0	478_5	THUJ.SPP.ALL	0.581	746	5350
0	478_5	TSUG.CAN	0.498	482	5184
0	479_1	ABIE.BAL	0.737	974	6508
0	479_1	ACER.RUB	0.692	484	4053
0	479_1	ACER.SAH	0.651	696	6311
0	479_1	BETU.ALL	0.692	542	4282
0	479_1	BETU.PAP	0.786	504	2726
0	479_1	FAGU.GRA	0.551	562	6585
0	479_1	FRAX.AME	0.614	353	3698
0	479_1	LARI.LAR	0.786	328	2554
0	479_1	PICE.GLA	0.692	912	8396
0	479_1	PICE.MAR	0.614	802	7660
0	479_1	PICE.RUB	0.551	1270	9428
0	479_1	PINU.BAN	0.786	994	7063
0	479_1	PINU.RES	0.737	696	7288
0	479_1	PINU.STR	0.692	582	5543
0	479_1	POPU.TRE	0.838	985	5758
0	479_1	QUER.RUB	0.614	954	10210
0	479_1	THUJ.SPP.ALL	0.551	614	4964
0	479_1	TSUG.CAN	0.498	372	4858
0	479_2	ABIE.BAL	0.737	840	6163
0	479_2	ACER.RUB	0.737	503	4121
0	479_2	ACER.SAH	0.692	690	6106
0	479_2	BETU.ALL	0.692	595	4212
0	479_2	BETU.PAP	0.838	458	2706
0	479_2	FAGU.GRA	0.614	602	6944
0	479_2	FRAX.AME	0.651	350	3786
0	479_2	LARI.LAR	0.838	276	2474
0	479_2	PICE.GLA	0.692	826	8132
0	479_2	PICE.MAR	0.614	703	7340
0	479_2	PICE.RUB	0.551	1172	9505
0	479_2	PINU.BAN	0.838	970	7023
0	479_2	PINU.RES	0.737	773	7429
0	479_2	PINU.STR	0.692	654	5586
0	479_2	POPU.TRE	0.838	942	5665
0	479_2	QUER.RUB	0.651	932	10129
0	479_2	THUJ.SPP.ALL	0.581	640	5086
0	479_2	TSUG.CAN	0.498	426	4973
0	479_3	ABIE.BAL	0.786	840	5937
0	479_3	ACER.RUB	0.786	609	4470
0	479_3	ACER.SAH	0.692	761	6263
0	479_3	BETU.ALL	0.692	693	4544
0	479_3	BETU.PAP	0.838	468	2769
0	479_3	FAGU.GRA	0.692	770	7462
0	479_3	FRAX.AME	0.692	478	4260
0	479_3	LARI.LAR	0.838	262	2153
0	479_3	PICE.GLA	0.737	866	8568
0	479_3	PICE.MAR	0.651	694	6824
0	479_3	PICE.RUB	0.614	1385	9414
0	479_3	PINU.BAN	0.944	942	7062
0	479_3	PINU.RES	0.737	943	7649
0	479_3	PINU.STR	0.737	773	6099
0	479_3	POPU.TRE	0.944	894	5684
0	479_3	QUER.RUB	0.692	1105	10858
0	479_3	THUJ.SPP.ALL	0.614	637	5226
0	479_3	TSUG.CAN	0.551	532	5328
0	479_4	ABIE.BAL	0.737	1087	6558
0	479_4	ACER.RUB	0.737	549	4344
0	479_4	ACER.SAH	0.692	790	6466
0	479_4	BETU.ALL	0.692	622	4332
0	479_4	BETU.PAP	0.838	516	2809
0	479_4	FAGU.GRA	0.614	632	7224
0	479_4	FRAX.AME	0.651	435	3920
0	479_4	LARI.LAR	0.838	324	2558
0	479_4	PICE.GLA	0.692	945	8498
0	479_4	PICE.MAR	0.614	780	7664
0	479_4	PICE.RUB	0.581	1284	9664
0	479_4	PINU.BAN	0.838	986	7077
0	479_4	PINU.RES	0.737	796	7394
0	479_4	PINU.STR	0.692	690	5869
0	479_4	POPU.TRE	0.838	1014	5883
0	479_4	QUER.RUB	0.651	1020	11004
0	479_4	THUJ.SPP.ALL	0.581	637	5110
0	479_4	TSUG.CAN	0.498	462	5092
0	479_5	ABIE.BAL	0.737	882	6275
0	479_5	ACER.RUB	0.786	532	4303
0	479_5	ACER.SAH	0.692	766	6296
0	479_5	BETU.ALL	0.692	655	4521
0	479_5	BETU.PAP	0.838	504	2739
0	479_5	FAGU.GRA	0.651	672	7319
0	479_5	FRAX.AME	0.692	414	4041
0	479_5	LARI.LAR	0.838	266	2392
0	479_5	PICE.GLA	0.737	862	8394
0	479_5	PICE.MAR	0.651	734	7366
0	479_5	PICE.RUB	0.581	1229	9820
0	479_5	PINU.BAN	0.838	988	6926
0	479_5	PINU.RES	0.737	852	7532
0	479_5	PINU.STR	0.692	723	5904
0	479_5	POPU.TRE	0.944	876	5692
0	479_5	QUER.RUB	0.692	988	10324
0	479_5	THUJ.SPP.ALL	0.614	622	5264
0	479_5	TSUG.CAN	0.523	482	5064
0	480_1	ABIE.BAL	0.692	882	6212
0	480_1	ACER.RUB	0.614	562	3264
0	480_1	ACER.SAH	0.551	514	5424
0	480_1	BETU.ALL	0.551	360	3700
0	480_1	BETU.PAP	0.786	422	2600
0	480_1	FAGU.GRA	0.476	387	5298
0	480_1	FRAX.AME	0	0	0
0	480_1	LARI.LAR	0.786	328	2546
0	480_1	PICE.GLA	0.692	787	8151
0	480_1	PICE.MAR	0.614	716	7477
0	480_1	PICE.RUB	0.498	1510	8970
0	480_1	PINU.BAN	0.786	774	6700
0	480_1	PINU.RES	0.651	670	5542
0	480_1	PINU.STR	0.551	452	4346
0	480_1	POPU.TRE	0.786	885	5590
0	480_1	QUER.RUB	0.498	766	8463
0	480_1	THUJ.SPP.ALL	0.498	438	4300
0	480_1	TSUG.CAN	0.386	302	3904
0	480_2	ABIE.BAL	0.692	706	5492
0	480_2	ACER.RUB	0	0	0
0	480_2	ACER.SAH	0.347	287	2956
0	480_2	BETU.ALL	0	0	0
0	480_2	BETU.PAP	0.786	316	2312
0	480_2	FAGU.GRA	0	0	0
0	480_2	FRAX.AME	0	0	0
0	480_2	LARI.LAR	0.737	268	2258
0	480_2	PICE.GLA	0.651	634	7434
0	480_2	PICE.MAR	0.551	622	6799
0	480_2	PICE.RUB	0.288	860	6968
0	480_2	PINU.BAN	0.737	598	5917
0	480_2	PINU.RES	0	0	0
0	480_2	PINU.STR	0	0	0
0	480_2	POPU.TRE	0.786	680	5252
0	480_2	QUER.RUB	0	0	0
0	480_2	THUJ.SPP.ALL	0.229	281	3016
0	480_2	TSUG.CAN	0	0	0
0	480_3	ABIE.BAL	0.737	847	6177
0	480_3	ACER.RUB	0.692	445	3874
0	480_3	ACER.SAH	0.614	672	5589
0	480_3	BETU.ALL	0.651	482	4099
0	480_3	BETU.PAP	0.786	448	2583
0	480_3	FAGU.GRA	0.551	474	6280
0	480_3	FRAX.AME	0.551	300	3302
0	480_3	LARI.LAR	0.786	314	2418
0	480_3	PICE.GLA	0.692	816	8322
0	480_3	PICE.MAR	0.614	716	7254
0	480_3	PICE.RUB	0.498	1081	8829
0	480_3	PINU.BAN	0.786	888	6878
0	480_3	PINU.RES	0.692	812	6728
0	480_3	PINU.STR	0.692	524	5228
0	480_3	POPU.TRE	0.838	912	5537
0	480_3	QUER.RUB	0.551	811	9584
0	480_3	THUJ.SPP.ALL	0.523	568	4798
0	480_3	TSUG.CAN	0.435	350	4406
0	480_4	ABIE.BAL	0.692	706	5905
0	480_4	ACER.RUB	0.173	530	3070
0	480_4	ACER.SAH	0.523	456	4512
0	480_4	BETU.ALL	0.314	285	3062
0	480_4	BETU.PAP	0.786	369	2477
0	480_4	FAGU.GRA	0.401	346	4860
0	480_4	FRAX.AME	0	0	0
0	480_4	LARI.LAR	0.786	311	2400
0	480_4	PICE.GLA	0.651	717	8028
0	480_4	PICE.MAR	0.581	630	7140
0	480_4	PICE.RUB	0.435	1420	8610
0	480_4	PINU.BAN	0.786	714	6475
0	480_4	PINU.RES	0.347	389	5358
0	480_4	PINU.STR	0.455	544	3926
0	480_4	POPU.TRE	0.786	800	5491
0	480_4	QUER.RUB	0.455	826	7323
0	480_4	THUJ.SPP.ALL	0.401	382	4043
0	480_4	TSUG.CAN	0.335	238	3374
0	480_5	ABIE.BAL	0.692	1031	6424
0	480_5	ACER.RUB	0.614	370	3545
0	480_5	ACER.SAH	0.551	602	5780
0	480_5	BETU.ALL	0.581	430	3816
0	480_5	BETU.PAP	0.786	448	2676
0	480_5	FAGU.GRA	0.498	404	5990
0	480_5	FRAX.AME	0	0	0
0	480_5	LARI.LAR	0.786	344	2576
0	480_5	PICE.GLA	0.692	881	8384
0	480_5	PICE.MAR	0.614	780	7736
0	480_5	PICE.RUB	0.498	1312	8758
0	480_5	PINU.BAN	0.786	868	6786
0	480_5	PINU.RES	0.651	650	5946
0	480_5	PINU.STR	0.614	450	4831
0	480_5	POPU.TRE	0.786	953	5720
0	480_5	QUER.RUB	0.523	729	9247
0	480_5	THUJ.SPP.ALL	0.498	457	4454
0	480_5	TSUG.CAN	0.401	316	3956
0	481_1	ABIE.BAL	0.737	1080	6664
0	481_1	ACER.RUB	0.692	528	4198
0	481_1	ACER.SAH	0.614	816	6354
0	481_1	BETU.ALL	0.692	556	4302
0	481_1	BETU.PAP	0.786	523	2806
0	481_1	FAGU.GRA	0.551	604	6828
0	481_1	FRAX.AME	0.614	396	3792
0	481_1	LARI.LAR	0.838	284	2438
0	481_1	PICE.GLA	0.692	940	8643
0	481_1	PICE.MAR	0.614	828	7874
0	481_1	PICE.RUB	0.551	1220	9326
0	481_1	PINU.BAN	0.838	972	7086
0	481_1	PINU.RES	0.737	793	7248
0	481_1	PINU.STR	0.692	618	5774
0	481_1	POPU.TRE	0.838	1024	5872
0	481_1	QUER.RUB	0.614	1056	10466
0	481_1	THUJ.SPP.ALL	0.551	493	4718
0	481_1	TSUG.CAN	0.498	407	4656
0	481_2	ABIE.BAL	0.737	801	6325
0	481_2	ACER.RUB	0.737	520	4232
0	481_2	ACER.SAH	0.692	664	6005
0	481_2	BETU.ALL	0.692	587	4143
0	481_2	BETU.PAP	0.838	483	2754
0	481_2	FAGU.GRA	0.581	656	6982
0	481_2	FRAX.AME	0.651	399	3958
0	481_2	LARI.LAR	0.838	314	2534
0	481_2	PICE.GLA	0.692	849	8524
0	481_2	PICE.MAR	0.614	720	7242
0	481_2	PICE.RUB	0.551	1251	9840
0	481_2	PINU.BAN	0.838	956	6922
0	481_2	PINU.RES	0.737	816	7358
0	481_2	PINU.STR	0.692	668	5742
0	481_2	POPU.TRE	0.893	936	5680
0	481_2	QUER.RUB	0.651	947	10382
0	481_2	THUJ.SPP.ALL	0.581	683	5162
0	481_2	TSUG.CAN	0.498	461	4988
0	481_3	ABIE.BAL	0.737	819	6275
0	481_3	ACER.RUB	0.786	563	4423
0	481_3	ACER.SAH	0.692	858	6224
0	481_3	BETU.ALL	0.692	637	4452
0	481_3	BETU.PAP	0.838	478	2735
0	481_3	FAGU.GRA	0.614	716	7357
0	481_3	FRAX.AME	0.651	459	4052
0	481_3	LARI.LAR	0.838	299	2433
0	481_3	PICE.GLA	0.692	850	8062
0	481_3	PICE.MAR	0.651	694	7374
0	481_3	PICE.RUB	0.581	1177	9544
0	481_3	PINU.BAN	0.838	976	7104
0	481_3	PINU.RES	0.737	885	7498
0	481_3	PINU.STR	0.692	734	5762
0	481_3	POPU.TRE	0.893	876	5640
0	481_3	QUER.RUB	0.651	1032	10572
0	481_3	THUJ.SPP.ALL	0.614	698	5445
0	481_3	TSUG.CAN	0.498	504	5176
0	481_4	ABIE.BAL	0.737	964	6537
0	481_4	ACER.RUB	0.692	458	3844
0	481_4	ACER.SAH	0.581	614	6023
0	481_4	BETU.ALL	0.614	522	4139
0	481_4	BETU.PAP	0.786	482	2714
0	481_4	FAGU.GRA	0.551	457	6404
0	481_4	FRAX.AME	0.581	328	3314
0	481_4	LARI.LAR	0.786	320	2456
0	481_4	PICE.GLA	0.692	856	8538
0	481_4	PICE.MAR	0.614	748	7662
0	481_4	PICE.RUB	0.498	1198	9389
0	481_4	PINU.BAN	0.786	946	6891
0	481_4	PINU.RES	0.692	800	6561
0	481_4	PINU.STR	0.692	531	5034
0	481_4	POPU.TRE	0.838	950	5690
0	481_4	QUER.RUB	0.614	812	9676
0	481_4	THUJ.SPP.ALL	0.523	500	4674
0	481_4	TSUG.CAN	0.435	366	4472
0	481_5	ABIE.BAL	0.737	974	6487
0	481_5	ACER.RUB	0.692	500	4116
0	481_5	ACER.SAH	0.651	732	6140
0	481_5	BETU.ALL	0.692	555	4242
0	481_5	BETU.PAP	0.786	500	2709
0	481_5	FAGU.GRA	0.551	582	6981
0	481_5	FRAX.AME	0.651	363	3695
0	481_5	LARI.LAR	0.838	284	2400
0	481_5	PICE.GLA	0.692	890	8546
0	481_5	PICE.MAR	0.614	779	7664
0	481_5	PICE.RUB	0.551	1270	9592
0	481_5	PINU.BAN	0.838	949	7088
0	481_5	PINU.RES	0.737	803	7098
0	481_5	PINU.STR	0.692	612	5490
0	481_5	POPU.TRE	0.838	980	5696
0	481_5	QUER.RUB	0.651	949	10466
0	481_5	THUJ.SPP.ALL	0.551	548	4920
0	481_5	TSUG.CAN	0.498	390	4880
0	482_1	ABIE.BAL	0.786	762	6335
0	482_1	ACER.RUB	0.786	592	4544
0	482_1	ACER.SAH	0.692	757	6583
0	482_1	BETU.ALL	0.692	680	4690
0	482_1	BETU.PAP	0.838	494	2778
0	482_1	FAGU.GRA	0.692	750	7550
0	482_1	FRAX.AME	0.692	396	3906
0	482_1	LARI.LAR	0.838	240	1985
0	482_1	PICE.GLA	0.737	815	8514
0	482_1	PICE.MAR	0.651	684	7362
0	482_1	PICE.RUB	0.614	1506	9995
0	482_1	PINU.BAN	0.893	885	7024
0	482_1	PINU.RES	0.737	872	7502
0	482_1	PINU.STR	0.737	730	6134
0	482_1	POPU.TRE	0.944	881	5762
0	482_1	QUER.RUB	0.692	1218	11287
0	482_1	THUJ.SPP.ALL	0.614	444	4698
0	482_1	TSUG.CAN	0.581	514	5314
0	482_2	ABIE.BAL	0.786	1002	6748
0	482_2	ACER.RUB	0.786	677	4658
0	482_2	ACER.SAH	0.692	970	6582
0	482_2	BETU.ALL	0.737	716	4599
0	482_2	BETU.PAP	0.838	535	2871
0	482_2	FAGU.GRA	0.692	828	7431
0	482_2	FRAX.AME	0.692	536	4355
0	482_2	LARI.LAR	0.838	225	2266
0	482_2	PICE.GLA	0.737	908	8686
0	482_2	PICE.MAR	0.651	774	7654
0	482_2	PICE.RUB	0.614	1555	10308
0	482_2	PINU.BAN	0.893	972	7060
0	482_2	PINU.RES	0.737	992	7836
0	482_2	PINU.STR	0.737	800	6174
0	482_2	POPU.TRE	0.944	954	5798
0	482_2	QUER.RUB	0.692	1399	11664
0	482_2	THUJ.SPP.ALL	0.614	552	4958
0	482_2	TSUG.CAN	0.581	568	5368
0	482_3	ABIE.BAL	0.786	868	6491
0	482_3	ACER.RUB	0.786	646	4548
0	482_3	ACER.SAH	0.692	854	6537
0	482_3	BETU.ALL	0.737	692	4522
0	482_3	BETU.PAP	0.838	517	2791
0	482_3	FAGU.GRA	0.692	808	7584
0	482_3	FRAX.AME	0.692	536	4382
0	482_3	LARI.LAR	0.838	268	2413
0	482_3	PICE.GLA	0.737	845	8710
0	482_3	PICE.MAR	0.651	725	7588
0	482_3	PICE.RUB	0.614	1638	10256
0	482_3	PINU.BAN	0.893	948	6987
0	482_3	PINU.RES	0.737	983	7610
0	482_3	PINU.STR	0.737	768	6015
