LandisData "Dynamic Input Data"

>> Warning - This is a bias-corrected file

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.55

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.6			2.7654

>>	year	landtype	species	probEst	maxANPP	maxB

0	432_1	ABIE.BAL	0.41	608	4593
0	432_1	ACER.RUB	0	0	0
0	432_1	BETU.ALL	0	0	0
0	432_1	BETU.PAP	0.537	319	2424
0	432_1	LARI.LAR	0.487	158	1695
0	432_1	PICE.GLA	0.41	608	7542
0	432_1	PICE.MAR	0.31	632	7223
0	432_1	PINU.BAN	0.445	512	5733
0	432_1	PINU.RES	0	0	0
0	432_1	PINU.STR	0	0	0
0	432_1	POPU.TRE	0.537	672	5440
0	432_2	ABIE.BAL	0.379	467	3661
0	432_2	ACER.RUB	0	0	0
0	432_2	BETU.ALL	0	0	0
0	432_2	BETU.PAP	0.445	199	1819
0	432_2	LARI.LAR	0.445	109	1031
0	432_2	PICE.GLA	0.33	384	5532
0	432_2	PICE.MAR	0.276	499	5734
0	432_2	PINU.BAN	0.353	373	4148
0	432_2	PINU.RES	0	0	0
0	432_2	PINU.STR	0	0	0
0	432_2	POPU.TRE	0.537	417	4060
0	432_3	ABIE.BAL	0.353	489	3343
0	432_3	ACER.RUB	0	0	0
0	432_3	BETU.ALL	0	0	0
0	432_3	BETU.PAP	0.445	170	1623
0	432_3	LARI.LAR	0.445	95	897
0	432_3	PICE.GLA	0.33	341	4496
0	432_3	PICE.MAR	0.276	446	5188
0	432_3	PINU.BAN	0.353	345	3871
0	432_3	PINU.RES	0	0	0
0	432_3	PINU.STR	0	0	0
0	432_3	POPU.TRE	0.537	367	3717
0	432_4	ABIE.BAL	0.379	556	4068
0	432_4	ACER.RUB	0	0	0
0	432_4	BETU.ALL	0	0	0
0	432_4	BETU.PAP	0.445	228	2009
0	432_4	LARI.LAR	0.445	149	1278
0	432_4	PICE.GLA	0.353	431	6641
0	432_4	PICE.MAR	0.292	491	6386
0	432_4	PINU.BAN	0.445	566	4594
0	432_4	PINU.RES	0	0	0
0	432_4	PINU.STR	0	0	0
0	432_4	POPU.TRE	0.537	458	4585
0	432_5	ABIE.BAL	0.353	476	2870
0	432_5	ACER.RUB	0	0	0
0	432_5	BETU.ALL	0	0	0
0	432_5	BETU.PAP	0.445	138	1415
0	432_5	LARI.LAR	0.445	74	683
0	432_5	PICE.GLA	0.33	229	3224
0	432_5	PICE.MAR	0.276	432	4490
0	432_5	PINU.BAN	0.33	341	3560
0	432_5	PINU.RES	0	0	0
0	432_5	PINU.STR	0	0	0
0	432_5	POPU.TRE	0.537	316	3111
0	434_1	ABIE.BAL	0.445	689	4931
0	434_1	ACER.RUB	0	0	0
0	434_1	BETU.ALL	0	0	0
0	434_1	BETU.PAP	0.537	350	2527
0	434_1	LARI.LAR	0.487	188	1664
0	434_1	PICE.GLA	0.41	796	8736
0	434_1	PICE.MAR	0.33	752	7948
0	434_1	PINU.BAN	0.537	725	5878
0	434_1	PINU.RES	0	0	0
0	434_1	PINU.STR	0	0	0
0	434_1	POPU.TRE	0.537	725	5482
0	434_2	ABIE.BAL	0.353	484	4148
0	434_2	ACER.RUB	0	0	0
0	434_2	BETU.ALL	0	0	0
0	434_2	BETU.PAP	0.445	261	2066
0	434_2	LARI.LAR	0.41	142	1276
0	434_2	PICE.GLA	0.33	534	6926
0	434_2	PICE.MAR	0.292	572	6602
0	434_2	PINU.BAN	0.249	436	4413
0	434_2	PINU.RES	0	0	0
0	434_2	PINU.STR	0	0	0
0	434_2	POPU.TRE	0.537	507	4770
0	434_3	ABIE.BAL	0.41	597	4261
0	434_3	ACER.RUB	0	0	0
0	434_3	BETU.ALL	0	0	0
0	434_3	BETU.PAP	0.537	283	2228
0	434_3	LARI.LAR	0.487	159	1364
0	434_3	PICE.GLA	0.41	562	7158
0	434_3	PICE.MAR	0.31	613	6700
0	434_3	PINU.BAN	0.445	589	5266
0	434_3	PINU.RES	0	0	0
0	434_3	PINU.STR	0	0	0
0	434_3	POPU.TRE	0.537	515	4937
0	434_4	ABIE.BAL	0.41	592	4665
0	434_4	ACER.RUB	0	0	0
0	434_4	BETU.ALL	0	0	0
0	434_4	BETU.PAP	0.537	311	2340
0	434_4	LARI.LAR	0.487	171	1497
0	434_4	PICE.GLA	0.41	690	8255
0	434_4	PICE.MAR	0.31	628	7285
0	434_4	PINU.BAN	0.445	609	5389
0	434_4	PINU.RES	0	0	0
0	434_4	PINU.STR	0	0	0
0	434_4	POPU.TRE	0.537	610	5230
0	434_5	ABIE.BAL	0.379	512	3670
0	434_5	ACER.RUB	0	0	0
0	434_5	BETU.ALL	0	0	0
0	434_5	BETU.PAP	0.487	209	1871
0	434_5	LARI.LAR	0.445	132	1083
0	434_5	PICE.GLA	0.353	416	5851
0	434_5	PICE.MAR	0.292	513	5860
0	434_5	PINU.BAN	0.41	508	4394
0	434_5	PINU.RES	0	0	0
0	434_5	PINU.STR	0	0	0
0	434_5	POPU.TRE	0.537	416	4336
0	435_1	ABIE.BAL	0.41	476	3365
0	435_1	ACER.RUB	0	0	0
0	435_1	BETU.ALL	0	0	0
0	435_1	BETU.PAP	0.487	191	1782
0	435_1	LARI.LAR	0.487	169	1432
0	435_1	PICE.GLA	0.353	331	4109
0	435_1	PICE.MAR	0.31	492	5226
0	435_1	PINU.BAN	0.445	667	5155
0	435_1	PINU.RES	0	0	0
0	435_1	PINU.STR	0	0	0
0	435_1	POPU.TRE	0.537	477	4112
0	435_2	ABIE.BAL	0.379	531	3952
0	435_2	ACER.RUB	0	0	0
0	435_2	BETU.ALL	0	0	0
0	435_2	BETU.PAP	0.445	229	2063
0	435_2	LARI.LAR	0.445	194	1735
0	435_2	PICE.GLA	0.353	425	6098
0	435_2	PICE.MAR	0.292	513	6304
0	435_2	PINU.BAN	0.41	770	5041
0	435_2	PINU.RES	0	0	0
0	435_2	PINU.STR	0	0	0
0	435_2	POPU.TRE	0.537	491	4863
0	435_3	ABIE.BAL	0.379	545	3736
0	435_3	ACER.RUB	0	0	0
0	435_3	BETU.ALL	0	0	0
0	435_3	BETU.PAP	0.487	228	1975
0	435_3	LARI.LAR	0.487	168	1641
0	435_3	PICE.GLA	0.353	425	5501
0	435_3	PICE.MAR	0.292	493	5882
0	435_3	PINU.BAN	0.445	789	5266
0	435_3	PINU.RES	0	0	0
0	435_3	PINU.STR	0	0	0
0	435_3	POPU.TRE	0.537	554	4579
0	435_4	ABIE.BAL	0.379	581	4469
0	435_4	ACER.RUB	0	0	0
0	435_4	BETU.ALL	0	0	0
0	435_4	BETU.PAP	0.487	307	2303
0	435_4	LARI.LAR	0.487	267	2012
0	435_4	PICE.GLA	0.353	565	7514
0	435_4	PICE.MAR	0.292	562	7163
0	435_4	PINU.BAN	0.445	732	5772
0	435_4	PINU.RES	0	0	0
0	435_4	PINU.STR	0	0	0
0	435_4	POPU.TRE	0.537	646	5367
0	435_5	ABIE.BAL	0.41	600	4358
0	435_5	ACER.RUB	0	0	0
0	435_5	BETU.ALL	0	0	0
0	435_5	BETU.PAP	0.487	304	2331
0	435_5	LARI.LAR	0.487	229	2012
0	435_5	PICE.GLA	0.41	554	7146
0	435_5	PICE.MAR	0.31	554	6927
0	435_5	PINU.BAN	0.445	858	5903
0	435_5	PINU.RES	0	0	0
0	435_5	PINU.STR	0	0	0
0	435_5	POPU.TRE	0.537	608	5378
0	436_1	ABIE.BAL	0.445	741	5213
0	436_1	ACER.RUB	0	0	0
0	436_1	BETU.ALL	0	0	0
0	436_1	BETU.PAP	0.537	432	2754
0	436_1	LARI.LAR	0.487	278	2406
0	436_1	PICE.GLA	0.41	855	9050
0	436_1	PICE.MAR	0.33	785	8070
0	436_1	PINU.BAN	0.537	1048	6812
0	436_1	PINU.RES	0	0	0
0	436_1	PINU.STR	0	0	0
0	436_1	POPU.TRE	0.537	928	6002
0	436_2	ABIE.BAL	0.445	655	4297
0	436_2	ACER.RUB	0	0	0
0	436_2	BETU.ALL	0	0	0
0	436_2	BETU.PAP	0.537	293	2330
0	436_2	LARI.LAR	0.487	211	1964
0	436_2	PICE.GLA	0.41	510	7229
0	436_2	PICE.MAR	0.33	546	6678
0	436_2	PINU.BAN	0.537	527	6354
0	436_2	PINU.RES	0	0	0
0	436_2	PINU.STR	0	0	0
0	436_2	POPU.TRE	0.537	582	5272
0	436_3	ABIE.BAL	0.445	727	5069
0	436_3	ACER.RUB	0	0	0
0	436_3	BETU.ALL	0	0	0
0	436_3	BETU.PAP	0.537	416	2698
0	436_3	LARI.LAR	0.487	258	2387
0	436_3	PICE.GLA	0.41	791	8610
0	436_3	PICE.MAR	0.33	765	7933
0	436_3	PINU.BAN	0.537	735	6921
0	436_3	PINU.RES	0	0	0
0	436_3	PINU.STR	0	0	0
0	436_3	POPU.TRE	0.537	880	6021
0	436_4	ABIE.BAL	0.445	727	4737
0	436_4	ACER.RUB	0	0	0
0	436_4	BETU.ALL	0	0	0
0	436_4	BETU.PAP	0.537	353	2544
0	436_4	LARI.LAR	0.487	263	2192
0	436_4	PICE.GLA	0.41	685	8210
0	436_4	PICE.MAR	0.33	635	7365
0	436_4	PINU.BAN	0.537	653	6771
0	436_4	PINU.RES	0	0	0
0	436_4	PINU.STR	0	0	0
0	436_4	POPU.TRE	0.537	784	5726
0	436_5	ABIE.BAL	0.445	619	5039
0	436_5	ACER.RUB	0	0	0
0	436_5	BETU.ALL	0.166	235	3244
0	436_5	BETU.PAP	0.537	419	2720
0	436_5	LARI.LAR	0.537	248	2351
0	436_5	PICE.GLA	0.41	769	8767
0	436_5	PICE.MAR	0.353	723	7810
0	436_5	PINU.BAN	0.537	745	7042
0	436_5	PINU.RES	0	0	0
0	436_5	PINU.STR	0.172	400	4237
0	436_5	POPU.TRE	0.537	862	5948
0	437_1	ABIE.BAL	0.445	647	4917
0	437_1	ACER.RUB	0.069	431	3222
0	437_1	BETU.ALL	0.208	244	3190
0	437_1	BETU.PAP	0.537	369	2611
0	437_1	LARI.LAR	0.487	273	2452
0	437_1	PICE.GLA	0.41	679	8136
0	437_1	PICE.MAR	0.353	685	7586
0	437_1	PINU.BAN	0.537	741	6960
0	437_1	PINU.RES	0.192	375	5731
0	437_1	PINU.STR	0.185	439	4039
0	437_1	POPU.TRE	0.537	807	5748
0	437_2	ABIE.BAL	0.445	561	4839
0	437_2	ACER.RUB	0.249	463	3430
0	437_2	BETU.ALL	0.33	398	3842
0	437_2	BETU.PAP	0.537	371	2643
0	437_2	LARI.LAR	0.537	276	2435
0	437_2	PICE.GLA	0.445	616	7988
0	437_2	PICE.MAR	0.379	634	7290
0	437_2	PINU.BAN	0.537	779	7091
0	437_2	PINU.RES	0.41	710	6458
0	437_2	PINU.STR	0.353	464	4523
0	437_2	POPU.TRE	0.537	794	5704
0	437_3	ABIE.BAL	0.445	622	4566
0	437_3	ACER.RUB	0.226	466	3047
0	437_3	BETU.ALL	0.33	293	3513
0	437_3	BETU.PAP	0.537	327	2503
0	437_3	LARI.LAR	0.537	274	2264
0	437_3	PICE.GLA	0.445	522	7149
0	437_3	PICE.MAR	0.379	670	6941
0	437_3	PINU.BAN	0.537	689	6915
0	437_3	PINU.RES	0.31	665	5930
0	437_3	PINU.STR	0.292	471	4410
0	437_3	POPU.TRE	0.537	674	5450
0	437_4	ABIE.BAL	0.445	672	4112
0	437_4	ACER.RUB	0.143	370	2554
0	437_4	BETU.ALL	0.249	195	2870
0	437_4	BETU.PAP	0.537	249	2204
0	437_4	LARI.LAR	0.537	242	1964
0	437_4	PICE.GLA	0.41	516	5974
0	437_4	PICE.MAR	0.379	590	5981
0	437_4	PINU.BAN	0.537	532	6477
0	437_4	PINU.RES	0.292	499	5371
0	437_4	PINU.STR	0.249	366	3882
0	437_4	POPU.TRE	0.537	485	4998
0	437_5	ABIE.BAL	0.487	725	5343
0	437_5	ACER.RUB	0.445	477	3997
0	437_5	BETU.ALL	0.33	536	4382
0	437_5	BETU.PAP	0.537	469	2885
0	437_5	LARI.LAR	0.537	338	2724
0	437_5	PICE.GLA	0.445	857	9001
0	437_5	PICE.MAR	0.379	791	8238
0	437_5	PINU.BAN	0.537	950	7418
0	437_5	PINU.RES	0.41	787	6978
0	437_5	PINU.STR	0.379	536	5433
0	437_5	POPU.TRE	0.598	963	6172
0	438_1	ABIE.BAL	0.487	592	4986
0	438_1	ACER.RUB	0.445	556	3716
0	438_1	BETU.ALL	0.353	460	4078
0	438_1	BETU.PAP	0.537	457	2786
0	438_1	LARI.LAR	0.537	238	2307
0	438_1	PICE.GLA	0.445	807	8733
0	438_1	PICE.MAR	0.379	749	7405
0	438_1	PINU.BAN	0.537	894	7396
0	438_1	PINU.RES	0.41	724	6724
0	438_1	PINU.STR	0.41	476	5316
0	438_1	POPU.TRE	0.598	897	5949
0	438_2	ABIE.BAL	0.445	868	5478
0	438_2	ACER.RUB	0.192	703	3505
0	438_2	BETU.ALL	0.31	436	3779
0	438_2	BETU.PAP	0.537	483	2843
0	438_2	LARI.LAR	0.537	350	2710
0	438_2	PICE.GLA	0.445	963	9270
0	438_2	PICE.MAR	0.379	873	8417
0	438_2	PINU.BAN	0.537	892	7313
0	438_2	PINU.RES	0.353	775	6190
0	438_2	PINU.STR	0.33	534	4682
0	438_2	POPU.TRE	0.537	1063	6211
0	438_3	ABIE.BAL	0.445	725	5370
0	438_3	ACER.RUB	0.41	308	3867
0	438_3	BETU.ALL	0.33	505	4145
0	438_3	BETU.PAP	0.537	481	2848
0	438_3	LARI.LAR	0.537	278	2644
0	438_3	PICE.GLA	0.445	905	8935
0	438_3	PICE.MAR	0.379	790	8128
0	438_3	PINU.BAN	0.537	945	7382
0	438_3	PINU.RES	0.41	620	6745
0	438_3	PINU.STR	0.379	486	5315
0	438_3	POPU.TRE	0.537	1005	6213
0	438_4	ABIE.BAL	0.445	810	5406
0	438_4	ACER.RUB	0.31	514	3496
0	438_4	BETU.ALL	0.31	451	3977
0	438_4	BETU.PAP	0.537	467	2876
0	438_4	LARI.LAR	0.537	322	2672
0	438_4	PICE.GLA	0.445	916	9317
0	438_4	PICE.MAR	0.379	812	8301
0	438_4	PINU.BAN	0.537	896	7297
0	438_4	PINU.RES	0.353	778	6173
0	438_4	PINU.STR	0.33	538	4927
0	438_4	POPU.TRE	0.537	1019	6156
0	438_5	ABIE.BAL	0.487	642	5227
0	438_5	ACER.RUB	0.445	717	3850
0	438_5	BETU.ALL	0.353	512	4319
0	438_5	BETU.PAP	0.537	485	2895
0	438_5	LARI.LAR	0.537	289	2494
0	438_5	PICE.GLA	0.445	892	9008
0	438_5	PICE.MAR	0.379	796	7930
0	438_5	PINU.BAN	0.537	948	7533
0	438_5	PINU.RES	0.41	691	6999
0	438_5	PINU.STR	0.41	499	5459
0	438_5	POPU.TRE	0.598	973	6109
15	432_1	ABIE.BAL	0.445	741	5221
15	432_1	ACER.RUB	0.353	761	3601
15	432_1	BETU.ALL	0.33	488	4067
15	432_1	BETU.PAP	0.537	448	2796
15	432_1	LARI.LAR	0.537	194	2013
15	432_1	PICE.GLA	0.445	789	8486
15	432_1	PICE.MAR	0.379	790	7774
15	432_1	PINU.BAN	0.537	783	6977
15	432_1	PINU.RES	0.379	617	6372
15	432_1	PINU.STR	0.353	439	4964
15	432_1	POPU.TRE	0.598	864	5913
15	432_2	ABIE.BAL	0.445	597	4403
15	432_2	ACER.RUB	0.192	488	2755
15	432_2	BETU.ALL	0.216	219	3229
15	432_2	BETU.PAP	0.537	275	2279
15	432_2	LARI.LAR	0.537	158	1372
15	432_2	PICE.GLA	0.41	501	6785
15	432_2	PICE.MAR	0.353	568	6607
15	432_2	PINU.BAN	0.537	590	5855
15	432_2	PINU.RES	0.237	416	5061
15	432_2	PINU.STR	0.216	509	3984
15	432_2	POPU.TRE	0.537	482	4777
15	432_3	ABIE.BAL	0.445	581	4101
15	432_3	ACER.RUB	0.208	381	2395
15	432_3	BETU.ALL	0.216	233	2973
15	432_3	BETU.PAP	0.537	229	2030
15	432_3	LARI.LAR	0.537	130	1233
15	432_3	PICE.GLA	0.41	461	5614
15	432_3	PICE.MAR	0.353	522	6178
15	432_3	PINU.BAN	0.537	410	5686
15	432_3	PINU.RES	0.226	365	4601
15	432_3	PINU.STR	0.226	402	3779
15	432_3	POPU.TRE	0.537	388	4464
15	432_4	ABIE.BAL	0.445	586	4732
15	432_4	ACER.RUB	0.208	460	3127
15	432_4	BETU.ALL	0.216	256	3354
15	432_4	BETU.PAP	0.537	319	2452
15	432_4	LARI.LAR	0.537	167	1592
